id,hebrew,transliterated
0,אנשים מגיעים מתאילנד לישראל כשהם נרשמים כמתנדבים,aneim mgiyim mtailnd lieral kehm nremim kmtndbim
1,אך למעשה,ak lmyeh
2,עובדים שכירים זולים,ywbdim ekirim zwlim
3,תופעה זו התבררה אתמול בוועדת העבודה והרווחה,twpyh zw htbrrh atmwl bwwydt hybwdh whrwwxh
4,הכנסת,hknst
5,שדנה בנושא העסקת עובדים זרים,ednh bnwea hysqt ywbdim zrim
6,הוועדה,hwwydh
7,אורה נמיר,awrh nmir
8,מערך,myrk
9,טענה כי,vynh ki
10,מביאים עובדים זרים לישראל על תקן של מתנדבים מתאילנד,mbiaim ywbdim zrim lieral yl tqn el mtndbim mtailnd
11,רק כדי לא לשלם להם שכר מינימום,rq kdi la lelm lhm ekr minimwm
12,מצד אחד רוצה האוצר להוריד את שכר המינימום,mcd axd rwch hawcr lhwrid at ekr hminimwm
13,ומצד שני מתיר משרד העבודה והרווחה להעסיק עובדים זרים בפחות משכר זה,wmcd eni mtir merd hybwdh whrwwxh lhysiq ywbdim zrim bpxwt mekr zh
14,נמיר הודיעה כי תפנה לשרי הפנים והעבודה והרווחה ולמזכיר תנועת המושבים,nmir hwdiyh ki tpnh leri hpnim whybwdh whrwwxh wlmzkir tnwyt hmwebim
15,בתביעה לבטל את הזמנתם של  עובדים זרים מתאילנד כמתנדבים כביכול,btbiyh lbvl at hzmntm el  ywbdim zrim mtailnd kmtndbim kbikwl
16,הודיעה כי הוועדה תגבש הצעת חוק בנושא העובדים הזרים,hwdiyh ki hwwydh tgbe hcyt xwq bnwea hywbdim hzrim
17,שתכלול איסור,etklwl aiswr
18,מתן שכר לעובדים מתחת לשכר המינימום ומתן התנאים הסוציאליים המקובלים,mtn ekr lywbdim mtxt lekr hminimwm wmtn htnaim hswcialiim hmqwblim
19,העבודה,hybwdh
20,כמו כן,kmw kn
21,תציב הצעת החוק עונשי מאסר והטלת קנסות כבדים למי,tcib hcyt hxwq ywnei masr whvlt qnswt kbdim lmi
22,עובדים זרים בלא רשיון,ywbdim zrim bla reiwn
23,מרגלית אילת,mrglit ailt
24,הממונה על מתן היתרי עבודה,hmmwnh yl mtn hitri ybwdh
25,בשירות התעסוקה,beirwt htyswqh
26,מסרה כי תנועת המושבים הפעילה לחץ שיותר לה להביא,msrh ki tnwyt hmwebim hpyilh lxc eiwtr lh lhbia
27,זרים מתאילנד,zrim mtailnd
28,היא אמרה כי שירות התעסוקה הציע להביא עובדים מדרום לבנון,hia amrh ki eirwt htyswqh hciy lhbia ywbdim mdrwm lbnwn
29,אך תנועת המושבים סירבה,ak tnwyt hmwebim sirbh
30,ישראל ארד,ieral ard
31,הביטוח הלאומי,hbivwx hlawmi
32,אמר,amr
33,ממלא מקום שר העבודה והרווחה,mmla mqwm er hybwdh whrwwxh
34,דוד מגן,dwd mgn
35,הקים ועדה בין,hqim wydh bin
36,משרדית,merdit
37,להגדיל באופן משמעותי את הקנסות למעסיקים,lhgdil bawpn memywti at hqnswt lmysiqim
38,אלי דיין,ali diin
39,מערך,myrk
40,הצעת חוק שלפיה יוטל היטל על מעסיקי עובדים זרים,hcyt xwq elpih iwvl hivl yl mysiqi ywbdim zrim
41,כדי למנוע העדפתם,kdi lmnwy hydptm
42,עובדים ישראליים,ywbdim ieraliim
43,חברות המעסיקות עובדים זרים זוכות במכרזים,xbrwt hmysiqwt ywbdim zrim zwkwt bmkrzim
44,היות,hiwt
45,מציעות שירותים זולים יותר,mciywt eirwtim zwlim iwtr
46,רן כהן,rn khn
47,רץ,rc
48,אמר כי על הוועדה,amr ki yl hwwydh
49,לממשלה בדרישה לחסל את העסקת העובדים הזרים לאלתר,lmmelh bdrieh lxsl at hysqt hywbdim hzrim laltr
50,על רקע היצע,yl rqy hicy
51,המוכנים לעבוד בכל עבודה בשכר המינימום,hmwknim lybwd bkl ybwdh bekr hminimwm
52,לדבריו,ldbriw
53,יש לפנות למשרד,ie lpnwt lmerd
54,והרווחה בדרישה לבטל בתוך חודש את עבודת העובדים הזרים המועסקים כיום,whrwwxh bdrieh lbvl btwk xwde at ybwdt hywbdim hzrim hmwysqim kiwm
55,הכותרת,hkwtrt
56,מתנדבים,mtndbim
57,יאיר צבן,iair cbn
58,מפם,mpm
59,אמר כי פרשת המתנדבים,amr ki pret hmtndbim
60,היא,hia
61,כתם חרפה על פרצופנו הלאומי,ktm xrph yl prcwpnw hlawmi
62,המוח מתפלץ לא רק מהתופעה המבישה,hmwx mtplc la rq mhtwpyh hmbieh
63,גם מדרכי ההערמה,gm mdrki hhyrmh
64,הראש היהודי ממציא לנו פטנטים בדמות מתנדבים,hrae hihwdi mmcia lnw pvnvim bdmwt mtndbim
65,שכר מחפיר,ekr mxpir
66,הוא קרא להפסקת התופעה ולמתן תשלומים רטרואקטיוויים לתאילנדים,hwa qra lhpsqt htwpyh wlmtn telwmim rvrwaqviwwiim ltailndim
67,שישלימו את שכר המינימום,eielimw at ekr hminimwm
68,דוברת שירות התעסוקה מסרה אתמול בתגובה,dwbrt eirwt htyswqh msrh atmwl btgwbh
69,השירות פועל לצמצום מספרם של העובדים הזרים ולהכנסת עולים חדשים במקומם,heirwt pwyl lcmcwm msprm el hywbdim hzrim wlhknst ywlim xdeim bmqwmm
70,לאחר פעילות נמרצת בשבועות האחרונים,laxr pyilwt nmrct bebwywt haxrwnim
71,צומצם מספר העובדים הזרים,cwmcm mspr hywbdim hzrim
72,האחיות,haxiwt
73,עד סוף השנה לא תועסק בארץ אף אחות כעובדת זרה,yd swp henh la twysq barc ap axwt kywbdt zrh
74,אמרה כי השירות קורא לחקלאים לדאוג לעובדים ישראליים,amrh ki heirwt qwra lxqlaim ldawg lywbdim ieraliim
75,במקום לתאילנדים,bmqwm ltailndim
76,השירות לא שינה את המדיניות בנושא העסקת תאילנדים בחקלאות,heirwt la einh at hmdiniwt bnwea hysqt tailndim bxqlawt
77,אלא להיפך,ala lhipk
78,הוא הבהיר לתנועת המושבים שכל עובד ישראלי שיסכים לעבוד בענף החקלאות,hwa hbhir ltnwyt hmwebim ekl ywbd ierali eiskim lybwd bynp hxqlawt
79,ישובץ לעבודה לאלתר,iewbc lybwdh laltr
80,אוסטרליה מבקשת לשגר לישראל,awsvrlih mbqet legr lieral
81,מרגלים,mrglim
82,לצורך מעקב אחר נבחרת הנוער,lcwrk myqb axr nbxrt hnwyr
83,ישראל ואוסטרליה יתמודדו עם ניו זילנד בטורניר הקדם עולמי לנוער,ieral wawsvrlih itmwddw ym niw zilnd bvwrnir hqdm ywlmi lnwyr
84,בפברואר,bpbrwar
85,מארס 1991,mars 1991
86,אתמול ביקשה אוסטרליה באורח רשמי מידע על משחקי,atmwl biqeh awsvrlih bawrx remi midy yl mexqi
87,של הנבחרת הישראלית בתקופה הקרובה,el hnbxrt hieralit btqwph hqrwbh
88,מאמן הנבחרת,mamn hnbxrt
89,נוער אא,nwyr aa
90,אמנון,amnwn
91,הגיב אתמול,hgib atmwl
92,אין לי מה להשיב להם,ain li mh lheib lhm
93,כי כרגע לא מתוכננים לנו,ki krgy la mtwknnim lnw
94,אימון,aimwn
95,הבעיה העיקרית מבחינתה של ישראל היא אי הבהירות לגבי מקום,hbyih hyiqrit mbxinth el ieral hia ai hbhirwt lgbi mqwm
96,הטורניר הקדם עולמי,hvwrnir hqdm ywlmi
97,ישראל היתה אמורה לארח את הטורניר,ieral hith amwrh larx at hvwrnir
98,אך,ak
99,כי בגלל המשבר במפרץ תחליט רק בדצמבר היכן יהיו המשחקים,ki bgll hmebr bmprc txliv rq bdcmbr hikn ihiw hmexqim
100,המאמן רז אמר,hmamn rz amr
101,כי קביעת משחקי המיבחן תיעשה רק לאחר שיתברר אם הטורניר יהיה בישראל,ki qbiyt mexqi hmibxn tiyeh rq laxr eitbrr am hvwrnir ihih bieral
102,רז ביקש שנבחרת הנוער תתמודד עם האולימפיים של פולין,rz biqe enbxrt hnwyr ttmwdd ym hawlimpiim el pwlin
103,אך המשחק לא,ak hmexq la
104,לפועל בגלל חוסר תיאום לגבי המועד,lpwyl bgll xwsr tiawm lgbi hmwyd
105,בינתיים התבטלה גם תכניתו של רז,bintiim htbvlh gm tknitw el rz
106,לטורקיה כדי לעקוב אחרי נבחרת הנוער,lvwrqih kdi lyqwb axri nbxrt hnwyr
107,בב,bb
108,של ארץ זו,el arc zw
109,הטורקים,hvwrqim
110,את ישראל ב בנובמבר במשחק קדם אליפות אירופה,at ieral b bnwbmbr bmexq qdm alipwt airwph
111,ישראל צועדת בראש,ieral cwydt brae
112,לאחר ניצחונה על שוייץ 20,laxr nicxwnh yl ewiic 20
113,בבית זה משובצת גם יוון,bbit zh mewbct gm iwwn
114,רז היה אמור,rz hih amwr
115,במשחק אימון בין נערי טורקיה ופולין באמצע השבוע,bmexq aimwn bin nyri vwrqih wpwlin bamcy hebwy
116,ולהמתין לנבחרת,wlhmtin lnbxrt
117,שתגיע לאיסטנבול בעוד שבוע,etgiy laisvnbwl bywd ebwy
118,אך התברר כי נערי פולין כלל לא יגיעו לטורקיה,ak htbrr ki nyri pwlin kll la igiyw lvwrqih
119,מאמרו של תום שגב,mamrw el twm egb
120,הקרב על סן סימון היה או לא היה,hqrb yl sn simwn hih aw la hih
121,הארץ,harc
122,105,105
123,הגיע לידי רק בימים אלה,hgiy lidi rq bimim alh
124,למרות שחלפו מאז  שנה,lmrwt exlpw maz  enh
125,שאירועי ימים אלה אולי מאפילים על כל דבר אחר,eairwyi imim alh awli mapilim yl kl dbr axr
126,אני מרגיש חובה בשמם,ani mrgie xwbh bemm
127,החללים,hxllim
128,הפצועים ולוחמי הקרב הזה,hpcwyim wlwxmi hqrb hzh
129,כאחד שהיה שם,kaxd ehih em
130,להתייחס למאמר,lhtiixs lmamr
131,קטעי המאמר העוסקים בקרב עצמו,qvyi hmamr hywsqim bqrb ycmw
132,ושרק אליהם אתייחס,werq alihm atiixs
133,מאופיינים,mawpiinim
134,היגיון ובסילוף עובדות,higiwn wbsilwp ywbdwt
135,ומעידים על הכותב כי הוא משולל הבנה טקטית,wmyidim yl hkwtb ki hwa mewll hbnh vqvit
136,וניסיון קרבי משמעותי,wnisiwn qrbi memywti
137,וכעת לעובדות המצוטטות,wkyt lywbdwt hmcwvvwt
138,כותרת המאמר,kwtrt hmamr
139,על סן סימון,yl sn simwn
140,היה לא היה,hih la hih
141,מרמזת כי ייתכן שבמנזר כלל לא התנהל קרב,mrmzt ki iitkn ebmnzr kll la htnhl qrb
142,לכל אלה המתרשמים ומסתפקים בקריאת הכותרת בלבד,lkl alh hmtremim wmstpqim bqriat hkwtrt blbd
143,אני יכול להבטיח,ani ikwl lhbvix
144,התנהל שם קרב,htnhl em qrb
145,והוא היה אחד הקשים והמפוארים בכל קרבות ישראל,whwa hih axd hqeim whmpwarim bkl qrbwt ieral
146,ועל,wyl
147,תעיד ההיסטוריה,tyid hhisvwrih
148,ויעידו עשרות הלוחמים שנשארו בחיים והצליחו לבצע את,wiyidw yerwt hlwxmim enearw bxiim whclixw lbcy at
149,על אף האבדות הכבדות,yl ap habdwt hkbdwt
150,במלחמת העצמאות,bmlxmt hycmawt
151,בקרב על ירושלים,bqrb yl irwelim
152,נשארה,nearh
