id,frequency,word
0,עבורי,351
1,הסיפור,893
2,הזה,9734
3,התחיל,396
4,בערך,1673
5,לפני,3790
6,שנים,3168
7,כשהייתי,384
8,רופא,160
9,הוספיס,8
10,באוניברסיטת,165
11,שיקאגו,8
12,וטיפלתי,2
13,באנשים,219
14,שהולכים,64
15,למות,190
16,ובמשפחותיהם,1
17,בחלק,270
18,הדרומי,91
19,של,47740
20,וצפיתי,23
21,במה,477
22,שקרה,436
23,לאנשים,1342
24,ולמשפחותיהם,2
25,במהלך,827
26,המחלה,159
27,הסופנית,1
28,שלהם,3842
29,ובמעבדה,4
30,שלי,8380
31,חקרתי,45
32,את,60716
33,אפקט,107
34,האלמנה,2
35,שהוא,4076
36,רעיון,831
37,עתיק,56
38,מאוד,5893
39,במדעי,56
40,החברה,687
41,שקיים,88
42,כבר,2136
43,כ,756
44,וידוע,15
45,גם,6674
46,כמוות,2
47,משברון,4
48,לב,1225
49,כך,9183
50,שכשאני,17
51,מת,304
52,הסיכוי,95
53,אשתי,98
54,יכול,5127
55,להיות,7645
56,מוכפל,8
57,למשל,657
58,בשנה,719
59,הראשונה,1351
60,והלכתי,72
61,לטפל,306
62,בחולה,16
63,מסוימת,255
64,אשה,124
65,שגססה,2
66,מדמנציה,2
67,ובמקרה,84
68,זה,43728
69,שלא,3155
70,כמו,8495
71,בני,1003
72,הזוג,68
73,האלה,4898
74,היא,13367
75,טופלה,6
76,על,30924
77,ידי,2297
78,בתה,22
79,והבת,14
80,הייתה,1729
81,מותשת,3
82,מהטיפול,9
83,באמה,1
84,ובעלה,8
85,הבת,47
86,הוא,21227
87,היה,12045
88,חולה,154
89,מהתשישות,2
90,אשתו,36
91,ויום,79
92,אחד,8513
93,בזמן,1337
94,שנהגתי,14
95,הביתה,496
96,קיבלתי,312
97,שיחת,51
98,טלפון,245
99,מחבר,58
100,הבעל,12
101,שהתקשר,1
102,אלי,386
103,בגלל,2742
104,מדוכא,30
105,ממה,656
106,שקורה,637
107,לחבר,246
108,שלו,2900
109,אז,17121
110,הנה,1978
111,אני,22561
112,מקבל,390
113,שיחה,150
114,מהבחור,8
115,האקראי,6
116,שחווה,10
117,חוויה,175
118,שמושפעת,2
119,מאנשים,182
120,במרחק,194
121,חברתי,217
122,מסוים,414
123,וכך,1449
124,פתאום,230
125,מבין,384
126,שני,2021
127,דברים,3718
128,פשוטים,197
129,ראשית,401
130,האלמנות,1
131,אינו,635
132,מוגבל,104
133,לנשים,142
134,ובעלים,2
135,שנית,133
136,לזוגות,2
137,אנשים,7376
138,ואז,4171
139,התחלתי,837
140,לראות,3964
141,העולם,3330
142,בדרך,1374
143,חדשה,750
144,לגמרי,1136
145,כזוגות,1
146,המחוברים,14
147,לשני,288
148,הבנתי,405
149,שפרטים,2
150,אלה,3125
151,יהיו,831
152,מחוברים,127
153,לרביעיות,1
154,עם,14460
155,זוגות,102
156,אחרים,1919
157,בקרבתם,1
158,למעשה,3998
159,היו,5028
160,מוטמעים,14
161,במערכות,91
162,יחסים,226
163,אחרות,793
164,נישואים,38
165,וזוגיות,1
166,וחברות,44
167,וקשרים,8
168,ושלמעשה,4
169,הקשרים,97
170,הם,15680
171,נרחבים,29
172,ושכולנו,2
173,במערך,10
174,הרחב,61
175,חיבורים,25
176,השני,1344
177,לחלוטין,807
178,ונהייתי,8
179,אובססיבי,30
180,לנושא,112
181,נהייתי,32
182,לאופן,41
183,בו,3190
184,אנחנו,11302
185,ברשתות,45
186,החברתיות,74
187,ולדרך,4
188,בה,2083
189,הן,3187
190,משפיעות,28
191,חיינו,249
192,רשתות,168
193,חברתיות,177
194,הדברים,2156
195,המסובכים,6
196,היפים,44
197,והן,411
198,כל,15479
199,מפורטות,8
200,ומורכבות,11
201,וכל,1134
202,נפוצות,20
203,שלמעשה,303
204,חייבים,784
205,לשאול,519
206,איזו,281
207,מטרה,180
208,משרתות,4
209,למה,2378
210,מתכוון,620
211,כיצד,1343
212,נוצרות,25
213,איך,4868
214,פועלות,54
215,וכיצד,118
216,עלינו,1159
217,הנושא,358
218,הראשון,1722
219,ביחס,153
220,לזה,1810
221,לא,34219
222,מוות,182
223,אלא,2296
224,השמנת,45
225,יתר,266
226,ופתאום,98
227,נהייה,35
228,אופנתי,13
229,לדבר,1661
230,מגפת,24
231,היתר,83
232,ויחד,37
233,שותפי,21
234,גיימס,99
235,פאולר,6
236,התחלנו,472
237,לתהות,68
238,האם,3467
239,באמת,4060
240,מגפה,36
241,והאם,118
242,יכולה,1613
243,להתפשט,57
244,מאדם,48
245,לאדם,243
246,ארבעת,88
247,האנשים,1884
248,שדיברתי,66
249,עליהם,879
250,קודם,803
251,זוהי,1459
252,שקופית,45
253,חלק,2190
254,מהתוצאות,23
255,הראשוניות,6
256,שלנו,7855
257,אלו,1962
258,בשנת,400
259,נקודה,268
260,מייצגת,57
261,אדם,2217
262,גודל,240
263,הנקודה,353
264,נמצא,864
