id,hebrew,transliterated
0,﻿עשרות,yerwt
1,אנשים,aneim
2,מגיעים,mgiyim
3,לישראל,lieral
4,כשהם,kehm
5,נרשמים,nremim
6,כמתנדבים,kmtndbim
7,אך,ak
8,למעשה,lmyeh
9,עובדים,ywbdim
10,שכירים,ekirim
11,זולים,zwlim
12,תופעה,twpyh
13,זו,zw
14,התבררה,htbrrh
15,אתמול,atmwl
16,העבודה,hybwdh
17,והרווחה,whrwwxh
18,שדנה,ednh
19,עובדים,ywbdim
20,הוועדה,hwwydh
21,אורה,awrh
22,טענה,vynh
23,כי,ki
24,מביאים,mbiaim
25,עובדים,ywbdim
26,זרים,zrim
27,לישראל,lieral
28,תקן,tqn
29,של,el
30,כדי,kdi
31,לא,la
32,לשלם,lelm
33,להם,lhm
34,שכר,ekr
35,מינימום,minimwm
36,מצד,mcd
37,רוצה,rwch
38,האוצר,hawcr
39,להוריד,lhwrid
40,את,at
41,שכר,ekr
42,המינימום,hminimwm
43,מתיר,mtir
44,משרד,merd
45,העבודה,hybwdh
46,והרווחה,whrwwxh
47,להעסיק,lhysiq
48,עובדים,ywbdim
49,זרים,zrim
50,בפחות,bpxwt
51,משכר,mekr
52,זה,zh
53,הודיעה,hwdiyh
54,כי,ki
55,תפנה,tpnh
56,לשרי,leri
57,הפנים,hpnim
58,והעבודה,whybwdh
59,והרווחה,whrwwxh
60,ולמזכיר,wlmzkir
61,תנועת,tnwyt
62,המושבים,hmwebim
63,בתביעה,btbiyh
64,את,at
65,הזמנתם,hzmntm
66,של,el
67,500,500
68,עובדים,ywbdim
69,זרים,zrim
70,מתאילנד,mtailnd
71,כמתנדבים,kmtndbim
72,כביכול,kbikwl
73,הודיעה,hwdiyh
74,כי,ki
75,הוועדה,hwwydh
76,הצעת,hcyt
77,חוק,xwq
78,בנושא,bnwea
79,העובדים,hywbdim
80,הזרים,hzrim
81,שתכלול,etklwl
82,איסור,aiswr
83,מתן,mtn
84,שכר,ekr
85,לעובדים,lywbdim
86,מתחת,mtxt
87,לשכר,lekr
88,המינימום,hminimwm
89,ומתן,wmtn
90,התנאים,htnaim
91,הסוציאליים,hswcialiim
92,המקובלים,hmqwblim
93,העבודה,hybwdh
94,כמו,kmw
95,כן,kn
96,תציב,tcib
97,הצעת,hcyt
98,החוק,hxwq
99,עונשי,ywnei
100,מאסר,masr
101,קנסות,qnswt
102,כבדים,kbdim
103,עובדים,ywbdim
104,זרים,zrim
105,בלא,bla
106,רשיון,reiwn
107,מרגלית,mrglit
108,הממונה,hmmwnh
109,מתן,mtn
110,היתרי,hitri
111,עבודה,ybwdh
112,בשירות,beirwt
113,התעסוקה,htyswqh
114,מסרה,msrh
115,כי,ki
116,תנועת,tnwyt
117,המושבים,hmwebim
118,הפעילה,hpyilh
119,לחץ,lxc
120,שיותר,eiwtr
121,להביא,lhbia
122,מתאילנד,mtailnd
123,היא,hia
124,אמרה,amrh
125,כי,ki
126,שירות,eirwt
127,התעסוקה,htyswqh
128,הציע,hciy
129,להביא,lhbia
130,עובדים,ywbdim
131,לבנון,lbnwn
132,אך,ak
133,תנועת,tnwyt
134,סירבה,sirbh
135,הלאומי,hlawmi
136,אמר,amr
137,ממלא,mmla
138,שר,er
139,והרווחה,whrwwxh
140,דוד,dwd
141,הקים,hqim
142,בין,bin
143,משרדית,merdit
